sensor_index,latitude,longitude,confidence,pm2.5_atm,pm25_corrected,lat_round,lon_round
7278,38.659187,-121.49993,100,3.6,3.332,38.66,-121.5
7562,38.56814,-121.404884,100,3.4,3.2279999999999998,38.57,-121.4
11406,38.59525,-121.51833,100,4.8,3.956,38.6,-121.52
13015,38.584885,-121.34694,93,4.0,3.54,38.58,-121.35
14063,38.572556,-121.43894,100,5.0,4.0600000000000005,38.57,-121.44
14475,38.520958,-121.380066,76,8.7,5.984,38.52,-121.38
278357,38.51606,-121.53198,100,5.4,4.268000000000001,38.52,-121.53
282976,38.54333,-121.46934,100,7.8,5.516,38.54,-121.47
20889,38.57104,-121.42493,100,3.6,3.332,38.57,-121.42
288092,38.580025,-121.51441,100,7.7,5.464,38.58,-121.51
293027,38.59031,-121.51301,100,61.8,33.596000000000004,38.59,-121.51
294747,38.57105,-121.48369,100,7.3,5.256,38.57,-121.48
33081,38.567654,-121.38987,100,3.5,3.2800000000000002,38.57,-121.39
33643,38.627045,-121.26367,100,4.1,3.5919999999999996,38.63,-121.26
34241,38.49075,-121.54793,100,2.9,2.968,38.49,-121.55
34437,38.540787,-121.48722,100,7.1,5.151999999999999,38.54,-121.49
296653,38.519703,-121.47206,100,6.2,4.684,38.52,-121.47
296651,38.516113,-121.464066,100,2.8,2.916,38.52,-121.46
296661,38.623234,-121.5048,100,5.1,4.112,38.62,-121.5
296663,38.627907,-121.450584,100,8.8,6.0360000000000005,38.63,-121.45
296659,38.644573,-121.44877,100,6.7,4.944000000000001,38.64,-121.45
296667,38.535057,-121.451004,100,7.9,5.5680000000000005,38.54,-121.45
296675,38.62708,-121.4675,100,7.8,5.516,38.63,-121.47
296699,38.5464,-121.46788,100,6.2,4.684,38.55,-121.47
296723,38.53586,-121.46552,100,7.9,5.5680000000000005,38.54,-121.47
35051,38.507614,-121.35667,100,5.4,4.268000000000001,38.51,-121.36
298011,38.478798,-121.488174,100,6.6,4.8919999999999995,38.48,-121.49
38831,38.568413,-121.493385,100,8.8,6.0360000000000005,38.57,-121.49
53551,38.716656,-121.26407,100,6.1,4.632,38.72,-121.26
55457,38.48661,-121.51117,100,5.5,4.32,38.49,-121.51
56123,38.459015,-121.310585,100,5.0,4.0600000000000005,38.46,-121.31
57045,38.566166,-121.36931,100,5.8,4.476,38.57,-121.37
58101,38.5257,-121.57471,100,4.9,4.008000000000001,38.53,-121.57
58105,38.544373,-121.547745,100,5.1,4.112,38.54,-121.55
62425,38.56715,-121.40329,100,6.9,5.048,38.57,-121.4
63217,38.63451,-121.21837,100,4.9,4.008000000000001,38.63,-121.22
65283,38.56621,-121.484406,78,7.1,5.151999999999999,38.57,-121.48
65479,38.602974,-121.35925,100,6.6,4.8919999999999995,38.6,-121.36
69045,38.64725,-121.2406,100,6.9,5.048,38.65,-121.24
70545,38.591763,-121.344025,100,9.0,6.14,38.59,-121.34
70623,38.624893,-121.32177,100,6.1,4.632,38.62,-121.32
70759,38.667503,-121.5085,100,6.4,4.788,38.67,-121.51
73087,38.533566,-121.57613,100,5.7,4.424,38.53,-121.58
74829,38.65318,-121.27501,100,5.6,4.372,38.65,-121.28
77023,38.68054,-121.52577,100,4.9,4.008000000000001,38.68,-121.53
79717,38.629974,-121.24596,83,4.6,3.852,38.63,-121.25
79747,38.71121,-121.231125,100,6.7,4.944000000000001,38.71,-121.23
82353,38.65829,-121.24193,100,6.1,4.632,38.66,-121.24
82703,38.5967,-121.353004,100,5.2,4.164,38.6,-121.35
83243,38.636127,-121.285614,100,4.9,4.008000000000001,38.64,-121.29
83829,38.641033,-121.36149,85,4.9,4.008000000000001,38.64,-121.36
